BST,3600,0,too_ambiguous,modern,America/Adak,America/Nome,Europe/Dublin,Europe/Gibraltar,Europe/London,Pacific/Midway,Pacific/Pago_Pago
BTT,21600,0,not_ambiguous,modern,Asia/Thimphu
BURT,23400,0,not_ambiguous,historical,Asia/Dhaka,Asia/Kolkata,Asia/Rangoon
CANT,-3600,0,not_ambiguous,historical,Atlantic/Canary
CAPT,-36000,3600,not_ambiguous,historical,America/Anchorage
CAST,7200,3600,too_ambiguous,modern,Africa/Gaborone,Africa/Khartoum,Antarctica/Casey
CAT,7200,0,modern_time_ambiguous,modern,Africa/Blantyre,Africa/Bujumbura,Africa/Gaborone,Africa/Harare,Africa/Khartoum,Africa/Kigali,Africa/Lubumbashi,Africa/Lusaka,Africa/Maputo,Africa/Windhoek
CAWT,-36000,3600,not_ambiguous,historical,America/Anchorage
CCT,23400,0,not_ambiguous,modern,Indian/Cocos
CDDT,-21600,7200,not_ambiguous,historical,America/Rankin_Inlet,America/Resolute
CDT,-18000,0,too_ambiguous,modern,America/Atikokan,America/Bahia_Banderas,America/Belize,America/Cambridge_Bay,America/Cancun,America/Chicago,America/Chihuahua,America/Costa_Rica,America/El_Salvador,America/Guatemala,America/Havana,America/Indiana/Indianapolis,America/Indiana/Knox,America/Indiana/Marengo,America/Indiana/Petersburg,America/Indiana/Tell_City,America/Indiana/Vevay,America/Indiana/Vincennes,America/Indiana/Winamac,America/Iqaluit,America/Kentucky/Louisville,America/Kentucky/Monticello,America/Managua,America/Matamoros,America/Menominee,America/Merida,America/Mexico_City,America/Monterrey,America/North_Dakota/Center,America/North_Dakota/New_Salem,America/Ojinaga,America/Pangnirtung,America/Rainy_River,America/Rankin_Inlet,America/Resolute,America/Tegucigalpa,America/Winnipeg,Asia/Chongqing,Asia/Harbin,Asia/Kashgar,Asia/Shanghai,Asia/Taipei,Asia/Urumqi,CST6CDT
CEMT,3600,7200,not_ambiguous,historical,Europe/Berlin
CEST,3600,3600,modern_time_ambiguous,modern,Africa/Algiers,Africa/Ceuta,Africa/Tripoli,Africa/Tunis,CET,Europe/Amsterdam,Europe/Andorra,Europe/Athens,Europe/Belgrade,Europe/Berlin,Europe/Brussels,Europe/Budapest,Europe/Chisinau,Europe/Copenhagen,Europe/Gibraltar,Europe/Kaliningrad,Europe/Kiev,Europe/Lisbon,Europe/Luxembourg,Europe/Madrid,Europe/Malta,Europe/Minsk,Europe/Monaco,Europe/Oslo,Europe/Paris,Europe/Prague,Europe/Riga,Europe/Rome,Europe/Simferopol,Europe/Sofia,Europe/Stockholm,Europe/Tallinn,Europe/Tirane,Europe/Uzhgorod,Europe/Vaduz,Europe/Vienna,Europe/Vilnius,Europe/Warsaw,Europe/Zaporozhye,Europe/Zurich
CET,3600,0,modern_time_ambiguous,modern,Africa/Algiers,Africa/Casablanca,Africa/Ceuta,Africa/Tripoli,Africa/Tunis,Europe/Amsterdam,Europe/Andorra,Europe/Athens,Europe/Belgrade,Europe/Berlin,Europe/Brussels,Europe/Budapest,Europe/Chisinau,Europe/Copenhagen,Europe/Gibraltar,Europe/Kaliningrad,Europe/Kiev,Europe/Lisbon,Europe/Luxembourg,Europe/Madrid,Europe/Malta,Europe/Minsk,Europe/Monaco,Europe/Oslo,Europe/Paris,Europe/Prague,Europe/Riga,Europe/Rome,Europe/Simferopol,Europe/Sofia,Europe/Stockholm,Europe/Tallinn,Europe/Tirane,Europe/Uzhgorod,Europe/Vaduz,Europe/Vienna,Europe/Vilnius,Europe/Warsaw,Europe/Zaporozhye,Europe/Zurich
CGST,-7200,3600,not_ambiguous,modern,America/Scoresbysund
CGT,-7200,0,not_ambiguous,modern,America/Scoresbysund
CHADT,45900,3600,not_ambiguous,modern,Pacific/Chatham
CHAST,45900,0,not_ambiguous,modern,Pacific/Chatham
CHAT,30600,0,time_ambiguous,modern,Asia/Harbin
CHDT,-21600,1800,not_ambiguous,historical,America/Belize
CHOST,32400,3600,not_ambiguous,modern,Asia/Choibalsan
CHOT,32400,0,time_ambiguous,modern,Asia/Choibalsan
CHUT,36000,0,not_ambiguous,modern,Pacific/Chuuk
CIT,28800,0,not_ambiguous,modern,Asia/Dili,Asia/Makassar,Asia/Pontianak
